text,intent
hey do you provide a dedicated customer success manager!,Inquiry
quick question: can i set granular permissions for different roles,Inquiry
update: need some time to think it over thanks,Medium Intent
update: we're interested but timing is bad rn,Medium Intent
so what happens when we reach our api limit...,Inquiry
update: why am i getting error 403 on a public endpoint asap,Complaint
note: send over the order form please,High Intent
wanna test it out,Medium Intent
quick question: i have been waiting on hold for hours.,Complaint
"hi, can we finalize the agreement today thanks",High Intent
quick question: putting this on pause for a month please,Medium Intent
when is support available?,Inquiry
"champion left the company, deal on hold",Low Intent
my card was charged incorrectly,Complaint
quick question: the analytics dashboard is completely inaccurate thanks,Complaint
nah,Low Intent
need pricing but not urgent,Medium Intent
"hi, we are happy with our current setup asap",Low Intent
update: how long is the implementation timeline usually,Inquiry
"hello, looks decent but we aren't ready yet asap",Medium Intent
quick question: we selected you as our vendor thanks,High Intent
"hello, let's get started on onboarding!",High Intent
"checking options, not sure yet",Medium Intent
pre-sales ques: does this integrate natively with salesforce,Inquiry
quick question: what languages does the platform support.,Inquiry
"hello, we want to move forward with the enterprise plan please",High Intent
"hello, putting this on pause for a month asap",Medium Intent
update: why am i getting error 403 on a public endpoint,Complaint
pre-sales ques: what happens when we reach our api limit,Inquiry
fyi: checking with it for security clearance rn,Medium Intent
quick question: not a priority right now rn,Low Intent
"hi, waiting for budget approval!",Medium Intent
so send the msa for legal review asap asap,High Intent
quick question: can i set granular permissions for different roles rn,Inquiry
quick question: can we finalize the agreement today asap,High Intent
note: i have been waiting on hold for hours please,Complaint
hey we build this internally so no need rn,Low Intent
support ticket: the documentation is severely out of date and useless,Complaint
fyi: ready to sign off on the proposal...,High Intent
sync with client: still in the evaluation phase,Medium Intent
"hi, we went with another solution rn",Low Intent
"love the features, hate the UI, will consider",Medium Intent
need pricing and a demo immediately,High Intent
closed lost: we don't have the budget for this,Low Intent
"hi, wrong person, try someone else please",Low Intent
quick question: we are comparing you with a few others please,Medium Intent
putting this on pause for a month rn,Medium Intent
fyi: what happens when we reach our api limit,Inquiry
u guys have an api or what,Inquiry
fyi: we are too small to need this rn,Low Intent
so extremely slow loading times in the eu region!,Complaint
"hi, we're interested but timing is bad rn",Medium Intent
"demo was okay, we will think about it",Medium Intent
hey can you put me on an email cadence for updates?!,Medium Intent
quick question: the documentation is severely out of date and useless thanks,Complaint
"hello, we are too small to need this asap",Low Intent
note: let's get started on onboarding!,High Intent
pre-sales ques: is it possible to white-label the dashboard,Inquiry
note: we are comparing you with a few others rn,Medium Intent
need support to upgrade my plan to enterprise,High Intent
"hi, why am i getting error 403 on a public endpoint.",Complaint
quick question: do you offer 24/7 technical support asap,Inquiry
fyi: urgent need to implement this week...,High Intent
sync with client: we are comparing you with a few others,Medium Intent
"lead called in, we selected you as our vendor",High Intent
fyi: unsubscribe immediately please thanks,Low Intent
inbound lead looking for basic integration docs,Inquiry
note: ready to proceed with the purchase thanks,High Intent
fyi: the user interface is incredibly non-intuitive...,Complaint
fyi: let's touch base in a few weeks asap,Medium Intent
we are comparing you with a few others please,Medium Intent
"highly interested, send contract",High Intent
app kinda buggy but ok for now,Medium Intent
update: need licenses for my team immediately,High Intent
fyi: billing department messed up my invoice again please,Complaint
fyi: we're interested but timing is bad rn,Medium Intent
"lead called in, we want to move forward with the enterprise plan",High Intent
idk maybe later bro,Low Intent
"hi, what languages does the platform support.",Inquiry
so i have been waiting on hold for hours asap,Complaint
so not interested at all thanks,Low Intent
"lead unresponsive after 5 follow ups, closing out",Low Intent
quick question: can i set granular permissions for different roles...,Inquiry
your recent update deleted my saved filters.,Complaint
quick question: following up next quarter might be better rn,Medium Intent
sync with client: checking with it for security clearance,Medium Intent
so do you guys have a compliance page i can check asap,Inquiry
fyi: your sales rep was extremely rude on the phone!,Complaint
send over the order form.,High Intent
update: not interested at all...,Low Intent
fyi: still in the evaluation phase,Medium Intent
"hello, don't ever call this number again",Low Intent
I was interested until support was rude to me,Complaint
so don't ever call this number again...,Low Intent
Whatever.,Low Intent
hey we're interested but timing is bad...,Medium Intent
quick question: still in the evaluation phase rn,Medium Intent
update: still in the evaluation phase asap,Medium Intent
how exactly does the machine learning work asap,Inquiry
fyi: i need to present this to the board first asap,Medium Intent
hey following up next quarter might be better!,Medium Intent
hey your recent update deleted my saved filters,Complaint
don't ever call this number again please,Low Intent
update: checking with it for security clearance please,Medium Intent
update: let's touch base in a few weeks!,Medium Intent
pls send invoice rn,High Intent
"hi, not interested at all!",Low Intent
hey where do i wire the funds asap,High Intent
"hey wrong person, try someone else...",Low Intent
